system,backbone,seed_count,implicit_f1,implicit_ci_low,implicit_ci_high,sarcasm_f1,sarcasm_ci_low,sarcasm_ci_high,irony_f1,irony_ci_low,irony_ci_high,idiom_f1,idiom_ci_low,idiom_ci_high,code_switching_f1,code_switching_ci_low,code_switching_ci_high,mocking_f1,mocking_ci_low,mocking_ci_high,macro_prag_f1,macro_prag_ci_low,macro_prag_ci_high,invalid_output_rate
phobert_finetune,phobert_base,3,0.7115283404156544,0.6328534313523989,0.7894331347682721,0.667349279387583,0.5991222794727176,0.7497272181621887,0.7547491863886869,0.641193903349015,0.8157562253959367,0.683136976359897,0.5910634322366912,0.7803874446924955,0.6854836809237658,0.5582891481088724,0.7707670231058863,0.6312153656228731,0.5596488963956192,0.7388418638545445,0.6889104715164099,0.6479533677744638,0.7132390437059642,0.0
vistral_7b_sft,vistral_7b,3,0.7177718879473266,0.5924379073415911,0.8447058823529411,0.6880171546942383,0.5835435774955359,0.779499588418877,0.7333848132218921,0.6319424656914691,0.8676470588235294,0.7061132815009731,0.6118813131313132,0.8060288589797558,0.7823938445950454,0.7065855253970703,0.8628691475624045,0.7020750793309176,0.5728972329872116,0.8379515520474144,0.7216260102150654,0.6893074720493744,0.7656721002274756,0.0
vipragsent_full_phobert,phobert_base,3,0.8224887656983677,0.741653959854065,0.9167128214922332,0.7603354506580313,0.6376595245711353,0.8521604107415348,0.8208292140902014,0.7377058949261914,0.8922475529286674,0.7461858218177732,0.6481642524735882,0.8145048055454065,0.8318176701155423,0.774991594894466,0.9133405552032693,0.8088676349545915,0.7253050999906695,0.9134750715453828,0.7984207595557512,0.7604571928344626,0.836008967171468,0.0
vipragsent_full_vistral,vistral_7b,3,0.7820609371929379,0.6975574242159309,0.8424387661527956,0.7947631397223708,0.6768924657079997,0.8709977135750411,0.7908795782074973,0.6713419913419912,0.9207614838091197,0.7156266414693381,0.563510971786834,0.7820787900487147,0.7869505804291289,0.7189283200263861,0.839695677844214,0.830958510298851,0.7367207195534259,0.9115302875440389,0.7835398978866873,0.7330513559342031,0.8387592053071986,0.0
azure_gpt41_mini_8shot,azure,1,0.7666666666666666,0.6715789473684212,0.8743865276663992,0.6127917026793431,0.46742969503195647,0.7105595726662757,0.7090909090909091,0.5511993622091395,0.7634646091588351,0.7818181818181817,0.6847201867231179,0.8576661017659634,0.803076923076923,0.6998166750701367,0.8730532212885154,0.6528028933092225,0.5745981554677206,0.7778580146086873,0.721041212773541,0.6655363094389063,0.7631054936276838,0.0
cot_only_vistral,vistral_7b,3,0.6643393821116353,0.5727130325814537,0.7770435150571172,0.6919472266822981,0.5738108135754536,0.800115834007472,0.6734267058831375,0.5756888176583237,0.766212789609016,0.6749810201781891,0.5149430384585978,0.7728302503131504,0.7297902232166757,0.6517028985507246,0.8288282278227508,0.7115705110974182,0.6475075556008452,0.7883179007219928,0.6910091781948924,0.6563453644794609,0.7329039062333651,0.0
